,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
143,45753295,35426901,21780037,53821580,43183403,22388233,25782854,19104610,38302650,48645141,0.537532248602762
144,35632583,21686610,19673288,19056000,20917462,24174410,39619360,21313496,19999856,58645198,0.5417157897660033
145,21852255,42239354,51754246,23953077,20998065,26626643,34274015,19825906,31640164,34309270,0.5355347014676974
146,48331564,37544681,20263422,36632589,32501047,46012212,27190131,19477381,22827884,51499388,0.45308816378046707
147,20596841,36080312,38973765,51079663,135313,44161602,38951787,28876420,45553932,24929553,0.5483626240476762
148,20128652,21268990,35690648,43343793,25098208,43790259,36361997,19646627,34235063,28768971,0.48829699743550514
149,19010788,22054454,23691233,32430284,20007116,45008066,20725069,60885202,32212294,46900077,0.47375435519057535
150,19972176,21903172,35363833,19057745,48020584,35649220,59182231,30430730,40683279,19988559,0.49597605482081925
151,50652105,31216289,48615731,20057585,55002581,22720675,29248714,40655780,45991831,33321426,0.5420491859794611
152,35021662,42219923,35990463,31645809,22324093,47174964,44820283,22122711,41189483,39794740,0.4624962971878465
153,28716773,31972131,55901864,63564692,20113339,37493337,44603384,38811368,57580480,30960163,0.45538779425279396
154,65759429,36815929,45239497,63411557,32196547,28319986,23937985,31045660,22144064,19667676,0.528282786493525
155,49348538,39933773,35271394,22052729,48545273,27802405,20404742,20401383,25779217,25133254,0.45318837576938115
156,20530968,20191106,40265074,48974514,47702426,43148999,50090197,45119010,34009717,24891519,0.4682263105281827
157,22495666,39164603,25016638,48559994,25836175,22572098,19126317,34995308,54349614,22527136,0.5291187787065368
158,27472204,46569822,45635285,50986704,55975209,22092754,65371679,19238209,23777546,26622908,0.5281981831253876
159,34623082,21072630,20701116,64954832,27403082,23431967,64181297,22993437,39292493,34537679,0.535622871328158
160,44247191,20749376,35779611,45563396,536506,34681830,21912778,40847932,39820348,28329901,0.5036095839142503
161,21035121,45911124,47722442,38349830,43886138,19973215,42728980,19037772,53284368,50921465,0.46063761942365256
162,31753737,45528512,61466800,24911434,44372330,31777322,32604624,39820756,30292688,27863787,0.5157339611426102
163,46394879,57570305,40540598,24096423,37047873,37619506,50934168,40450696,44816140,47470849,0.5008999143860641
164,38753445,50567142,36659691,45272120,21122348,21864794,35629123,38614231,582627,49235280,0.4774126554490375
165,29225126,21507009,56865514,40977717,53783894,64935909,50998097,30395148,32527563,24449501,0.5170094478161406
166,30018798,36429521,21838900,21185010,28944644,35711145,45384171,31487708,40007986,37475059,0.5217489917440565
167,59198626,59296085,41659419,38806885,40320525,23164025,22695764,36769433,20512244,38724766,0.462284071334039
168,44830002,30450567,49279731,55862161,29560019,35042125,21633146,21263487,45511368,47829176,0.5255771889938656
169,47339249,46541671,24535527,537250,20627624,20582828,60278985,36981426,26564282,34166844,0.4980903414667079
170,46076500,20004215,49191377,37793161,30400786,37327600,49973424,26854176,27709946,23432025,0.4552751192106938
171,38776518,35930130,21380614,26260240,22738832,47777054,26625822,22403433,20755290,46111796,0.4572742225509688
172,47471694,19570783,51039691,23876173,32383042,19162381,64762448,48289211,36111999,39915295,0.4551946398405421
173,31426977,26152468,66630074,22702324,44422820,40821328,21081811,74459803,48616670,22245765,0.4880662189003643
174,43270271,24581813,19074103,44781225,20633202,38901084,25549705,19837927,25168230,26865821,0.5371152074729763
175,64429924,30581288,23485383,52111287,39481472,56320289,36743160,20713237,34410577,30346160,0.46119337331925275
176,58484809,28442925,28661243,58680879,26242683,20925893,50736879,52000489,30566646,47704070,0.47877675439742784
177,39208192,44449639,46380943,22956451,43168914,38959958,20350823,42717824,31225187,23462206,0.5342727625196775
178,28843040,45186395,50994450,36041507,40545018,43050198,53286147,47845623,45067695,30658408,0.46829095270511556
179,22058037,43123670,22293039,21001962,35024681,24987103,38858055,22987048,63558730,62397196,0.5389033943790363
180,40714526,42819074,56483443,58681460,40655853,25034450,51902653,24684766,59140512,20614401,0.4846924944383387
181,27839177,46183789,41005936,21841781,35303562,43709143,39002360,20718296,33369095,52039158,0.4808415616233385
182,38683699,59800448,41221507,50562173,41276882,35270306,53490870,37977719,43155982,28761214,0.5153723482135635
183,22983224,39705040,25509822,28885750,52371265,28998771,45636091,20363055,23193430,35232436,0.4852411834448
184,23179126,43586027,40010757,30310361,24466962,25102863,37426021,58171634,50479467,20771415,0.4955517146806461
185,23905113,35351972,38844686,23818015,55466154,26074863,51132226,56476230,44089434,39069755,0.5299210283898079
186,24149332,53221701,21061858,38937377,32645761,19049277,34870689,60941196,19441739,46701321,0.5376017503680515
187,38883970,32762048,29489577,21960938,58763642,31082518,44514491,25025698,47476098,36434397,0.5137972787765797
188,59599141,36473995,24870432,25925406,28777907,23459760,42852429,33979380,57395417,51373592,0.45731139383750075
189,35545267,19666444,22946643,34069034,25147735,43601228,53854288,23352849,175562,28685523,0.5466074769695856
190,52975223,25176005,51024091,47114797,25799395,34774798,41944380,24251467,52335743,34589624,0.5426316092667517
191,41894799,26492056,21222993,23517007,20884074,32223548,49338176,21056942,19632838,34830879,0.4655011487600428
192,36847312,24459891,38824570,20927754,49310486,39035306,23610467,19826728,27681529,28511894,0.4713763282116248
193,50862124,50828568,19914877,60296900,32679798,21965939,40968513,24652924,25396772,20109029,0.4704073158179357
194,54906560,29164133,31410894,20343787,50958243,41222841,41739488,24898122,30839459,36836960,0.5484813225582668
195,41641888,51901099,28866581,31532198,36001590,34248329,32680024,22581064,49600018,23197054,0.5106076737578306
196,36420230,49973271,32532808,56308026,26040574,22946752,29574279,26297739,36922238,35088577,0.5206015088980053
